issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-10381,Bug,2018-09-20 22:58:08,
FLINK-10382,Bug,2018-09-20 23:46:26,
FLINK-10383,Bug,2018-09-21 01:43:43,2018-09-25 15:25:39
FLINK-10384,Sub-task,2018-09-21 11:17:06,2018-11-07 14:12:29
FLINK-10385,Improvement,2018-09-21 12:39:34,
FLINK-10386,Sub-task,2018-09-21 12:59:34,2018-10-09 16:25:30
FLINK-10387,Improvement,2018-09-21 17:41:49,
FLINK-10388,Test,2018-09-22 01:45:27,
FLINK-10389,Bug,2018-09-22 04:49:20,2018-09-24 21:03:41
FLINK-10390,Bug,2018-09-22 06:18:26,2018-10-17 16:45:58
FLINK-10391,Bug,2018-09-22 06:59:07,
FLINK-10392,Improvement,2018-09-23 01:24:12,
FLINK-10393,Sub-task,2018-09-23 01:26:31,2018-09-27 21:47:50
FLINK-10394,Sub-task,2018-09-23 01:34:19,2018-09-27 21:50:56
FLINK-10395,Sub-task,2018-09-23 01:37:26,2018-09-27 21:53:02
FLINK-10396,Sub-task,2018-09-23 01:39:47,2018-09-28 17:47:29
FLINK-10397,Sub-task,2018-09-23 01:57:28,2018-09-28 22:38:02
FLINK-10398,Sub-task,2018-09-23 10:26:14,2018-10-18 22:12:06
FLINK-10399,Improvement,2018-09-23 15:49:55,2018-10-09 22:55:19
FLINK-10400,Bug,2018-09-23 16:30:55,2018-09-27 17:57:20
FLINK-10401,Sub-task,2018-09-24 03:52:02,2018-09-28 22:38:51
FLINK-10402,Sub-task,2018-09-24 04:23:50,2018-09-28 22:38:37
FLINK-10403,Sub-task,2018-09-24 16:34:04,2018-09-28 22:38:19
FLINK-10404,New Feature,2018-09-24 17:18:23,
FLINK-10405,Sub-task,2018-09-24 17:18:39,2018-10-17 06:26:45
FLINK-10406,Sub-task,2018-09-24 17:20:53,2018-10-07 17:43:33
FLINK-10407,New Feature,2018-09-24 17:21:36,
FLINK-10408,Bug,2018-09-24 17:23:22,
FLINK-10409,Bug,2018-09-24 20:02:02,
